Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
DCGO,DocGo Inc,Healthcare,Medical Care Facilities,USA,296580000.0,14.44,2.92,-0.023399999999999997,239735.0
TCBX,Third Coast Bancshares Inc,Financial,Banks - Regional,USA,290470000.0,11.69,21.28,-0.005600000000000001,13806.0
