Date,Article title,Article sentiment
None,Hanmi Financial to Participate in the D.A. Davidson 26th Annual Financial Institutions Conference,positive
None,"Hanmi Bank Celebrates Grand Opening of its New Fort Lee, New Jersey Branch with Local Community",positive
None,Hanmi Financial First Quarter 2024 Earnings: EPS: US$0.50 (vs US$0.72 in 1Q 2023),positive
None,"Hanmi Financial Approves New Share Buyback Program, Maintains Quarterly Dividend",positive
None,Hanmi Financial Declares Cash Dividend of $0.25 per share and Announces New Share Repurchase Authorization,positive
None,Hanmi Financial Corporation (NASDAQ:HAFC) Q1 2024 Earnings Call Transcript,positive
None,Hanmi Financial (HAFC) Q1 Earnings: Taking a Look at Key Metrics Versus Estimates,positive
None,Hanmi Financial (HAFC) Misses Q1 Earnings and Revenue Estimates,positive
